Position,PlaceValue,Entropy(bits),Operation,NumDigitsA,NumDigitsB
0,100000000000000,2.9125,multiply,9,6
1,10000000000000,3.3216,multiply,9,6
2,1000000000000,3.3219,multiply,9,6
3,100000000000,3.3219,multiply,9,6
4,10000000000,3.3219,multiply,9,6
5,1000000000,3.3219,multiply,9,6
6,100000000,3.3219,multiply,9,6
7,10000000,3.3219,multiply,9,6
8,1000000,3.3219,multiply,9,6
9,100000,3.3219,multiply,9,6
10,10000,3.3219,multiply,9,6
11,1000,3.3219,multiply,9,6
12,100,3.3218,multiply,9,6
13,10,3.3133,multiply,9,6
14,1,3.0326,multiply,9,6
